Step 0, Time: 0.01, MPIs: 8 Threads: 14 Elapsed: 0.0805645
                                   0.08 97.4%        0.08 97.4%        0.08       0.08
 Domain                            0.03 35.0%        0.03 35.0%        0.03       0.03
  Decompose                         0.00  1.1%        0.00  1.1%        0.00       0.00
   Misc@domain.c:0355                0.00  0.4%        0.00  0.4%        0.00       0.00
   Sumcost@domain.c:0407             0.00  0.5%        0.00  0.5%        0.00       0.00
   assignbalance@domain.c:0412        0.00  0.2%        0.00  0.2%        0.00       0.00
   memorybound@domain.c:0418         0.00  0.1%        0.00  0.1%        0.00       0.00
  DetermineTopTree                  0.01  9.8%        0.01  9.8%        0.01       0.01
   Addnodes@domain.c:1211            0.00  0.1%        0.00  0.1%        0.00       0.00
   Combine@domain.c:1199             0.00  0.5%        0.00  0.5%        0.00       0.00
   CreateLeaves@domain.c:0378        0.00  0.3%        0.00  0.3%        0.00       0.00
   LocalRefine                       0.00  0.4%        0.00  0.4%        0.00       0.00
    Init@domain.c:1159                0.00  0.1%        0.00  0.1%        0.00       0.00
    truncate@domain.c:1177            0.00  0.3%        0.00  0.3%        0.00       0.00
   Misc@domain.c:1150                0.00  0.3%        0.00  0.3%        0.00       0.00
   Sort@domain.c:0950                0.01  8.3%        0.01  8.3%        0.01       0.01
  PeanoSort@domain.c:0229           0.00  4.5%        0.00  4.5%        0.00       0.00
  exchange                          0.02 19.6%        0.02 19.6%        0.02       0.02
   alltoall@exchange.c:0354          0.01 14.2%        0.01 14.2%        0.01       0.01
   finalize@exchange.c:0377          0.00  0.1%        0.00  0.1%        0.00       0.00
   garbage@exchange.c:0254           0.00  1.8%        0.00  1.8%        0.00       0.00
   init@exchange.c:0115              0.00  0.1%        0.00  0.1%        0.00       0.00
   makebuf@exchange.c:0243           0.00  2.0%        0.00  2.0%        0.00       0.00
   togo@exchange.c:0137              0.00  1.4%        0.00  1.4%        0.00       0.00
 Init@init.c:0256                  0.05 61.2%        0.05 61.2%        0.05       0.05
 Misc@domain.c:0168                0.00  0.1%        0.00  0.1%        0.00       0.00
 Misc@run.c:0153                   0.00  1.0%        0.00  1.0%        0.00       0.00
Step 0, Time: 0.01, MPIs: 8 Threads: 14 Elapsed: 0.461877
                                   0.46 99.5%        0.38 99.9%        0.38       0.38
 Domain                            0.04  8.1%        0.01  2.4%        0.01       0.01
  Decompose                         0.00  0.3%        0.00  0.2%        0.00       0.00
   Misc@domain.c:0355                0.00  0.1%        0.00  0.0%        0.00       0.00
