# in Mpc/h Units 
# D1 = 0.0132908 
# k P N P(z=0)
0.0628319 2.01079 6 11383.3
0.0888577 1.22862 12 6955.36
0.108828 0.89593 8 5071.95
0.125664 0.79393 6 4494.52
0.140496 0.645947 24 3656.77
0.153906 0.511525 24 2895.79
0.177715 0.420302 12 2379.37
0.188496 0.390045 30 2208.08
0.198692 0.363751 24 2059.23
0.20839 0.321431 24 1819.65
0.217656 0.292614 8 1656.52
0.226543 0.257792 24 1459.39
0.235095 0.255012 48 1443.65
0.251327 0.232018 6 1313.48
0.262281 0.210744 84 1193.04
0.273878 0.183202 24 1037.12
0.280993 0.192204 24 1088.09
0.29019 0.168375 72 953.189
0.307812 0.149917 24 848.692
0.318551 0.141744 102 802.426
0.326484 0.140109 32 793.171
0.340674 0.123359 120 698.348
0.355431 0.11985 12 678.481
0.366343 0.106348 144 602.048
0.379302 0.098338 54 556.701
0.389837 0.0917555 96 519.437
0.405099 0.0872377 168 493.861
0.422256 0.0812004 144 459.683
0.442145 0.0719624 146 407.386
0.456965 0.0674727 240 381.969
0.476937 0.0636908 192 360.56
0.493022 0.0568035 168 321.57
0.510602 0.0531224 270 300.731
0.527626 0.0498703 228 282.32
0.546637 0.0462533 344 261.845
0.570583 0.0424262 342 240.179
0.591498 0.0397839 456 225.22
0.616749 0.035897 396 203.216
0.63768 0.0331405 486 187.612
0.661928 0.0304998 560 172.662
0.686555 0.0283115 558 160.274
0.712045 0.0259834 708 147.094
0.737212 0.0239708 672 135.701
0.767295 0.0224556 998 127.124
0.797876 0.0205309 924 116.227
0.827231 0.0186007 1014 105.3
0.855366 0.0176138 1064 99.7136
0.888745 0.016007 1434 90.6172
0.922629 0.0144406 1440 81.7495
0.9574 0.0133014 1662 75.3005
0.994531 0.0122666 1898 69.4426
1.03188 0.0114098 2040 64.5921
1.07175 0.010485 2378 59.3563
1.11154 0.0100752 2430 57.0369
1.15271 0.00905252 2964 51.2472
1.19766 0.00808134 3278 45.7493
1.2432 0.00759854 3618 43.0161
1.28924 0.00704418 3896 39.8778
1.33879 0.00656102 4770 37.1426
1.3903 0.00603106 4902 34.1424
1.44163 0.00555903 5522 31.4702
1.49595 0.00518938 6402 29.3776
1.55328 0.00488303 7118 27.6433
1.61149 0.00449062 7634 25.4219
1.67267 0.00424118 9090 24.0097
1.73596 0.00400428 9566 22.6686
1.80111 0.00381003 11034 21.569
1.86923 0.00367833 12290 20.8234
1.94007 0.00355193 13706 20.1078
2.01239 0.00342487 14970 19.3885
2.08788 0.00336707 17198 19.0613
2.16695 0.00345217 19016 19.5431
2.24881 0.00349855 21458 19.8056
2.33445 0.00360689 24186 20.419
2.42318 0.00394248 26624 22.3187
2.51406 0.00430801 29594 24.3881
2.60906 0.00491373 33536 27.8171
2.70773 0.00577413 37166 32.6879
2.80996 0.00711733 41720 40.2919
2.91588 0.0091485 46280 51.7905
3.02527 0.0113775 51536 64.4093
3.13941 0.0159115 58466 90.0768
3.25901 0.0236153 65564 133.688
3.38216 0.0352403 72080 199.499
3.50965 0.0571161 81380 323.34
3.64194 0.110764 90070 627.045
3.7792 0.316618 101516 1792.4
3.92175 0.451303 112736 2554.87
4.06885 115.028 122371 651186
4.22253 0.021328 120908 120.74
4.38168 0.0281729 118888 159.489
4.54705 0.0446318 115424 252.665
4.71893 0.0824385 110068 466.692
4.89655 0.177565 101516 1005.21
5.08084 0.450176 92536 2548.49
5.27183 1.28002 78532 7246.31
5.46879 7.31507 62872 41411.3
5.67269 1537.55 43009 8.70424e+06
5.8872 0.619284 27262 3505.82
6.10775 2.32068 16264 13137.6
6.3354 13.3663 8614 75668
6.56292 118.826 3046 672686
6.76744 2912.03 550 1.64853e+07
6.96499 1.02352e+08 1 5.79423e+11
