# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.0628319 9548.67 6 9548.67
0.0888577 4992.64 12 4992.64
0.108828 4357.68 8 4357.68
0.125664 5660.82 6 5660.82
0.140496 3356.03 24 3356.03
0.153906 2067.34 24 2067.34
0.177715 2609.33 12 2609.33
0.188496 1984.76 30 1984.76
0.198692 2229.45 24 2229.45
0.20839 1840.7 24 1840.7
0.217656 1389.25 8 1389.25
0.226543 892.948 24 892.948
0.235095 2495.63 48 2495.63
0.251327 1655.2 6 1655.2
0.262281 1385.07 84 1385.07
0.273878 829.667 24 829.667
0.280993 988.501 24 988.501
0.29019 1456.6 72 1456.6
0.307812 1483.89 24 1483.89
0.318551 1222.82 102 1222.82
0.326484 1508.99 32 1508.99
0.340674 942.422 120 942.422
0.355431 1720.88 12 1720.88
0.366343 899.165 144 899.165
0.379302 702.367 54 702.367
0.389837 903.48 96 903.48
0.405099 896.007 168 896.007
0.422256 808.322 144 808.322
0.442145 569.704 146 569.704
0.456965 779.612 240 779.612
0.476937 783.639 192 783.639
0.493022 602.837 168 602.837
0.510602 705.861 270 705.861
0.527626 571.285 228 571.285
0.546637 587.198 344 587.198
0.570583 591.034 342 591.034
0.591498 593.064 456 593.064
0.616749 526.576 396 526.576
0.63768 507.815 486 507.815
0.661928 497.541 560 497.541
0.686555 495.094 558 495.094
0.712045 403.568 708 403.568
0.737212 458.504 672 458.504
0.767295 426.659 998 426.659
0.797876 416.967 924 416.967
0.827231 380.11 1014 380.11
0.855366 382.062 1064 382.062
0.888745 372.767 1434 372.767
0.922629 357.695 1440 357.695
0.9574 331.306 1662 331.306
0.994531 337.339 1898 337.339
1.03188 339.727 2040 339.727
1.07175 312.293 2378 312.293
1.11154 296.79 2430 296.79
1.15271 289.247 2964 289.247
1.19766 270.73 3278 270.73
1.2432 260.335 3618 260.335
1.28924 253.104 3896 253.104
1.33879 240.824 4770 240.824
1.3903 230.923 4902 230.923
1.44163 219.598 5522 219.598
1.49595 218.643 6402 218.643
1.55328 214.265 7118 214.265
1.61149 198.504 7634 198.504
1.67267 185.305 9090 185.305
1.73596 190.56 9566 190.56
1.80111 179.874 11034 179.874
1.86923 170.792 12290 170.792
1.94007 159.723 13706 159.723
2.01239 155.72 14970 155.72
2.08788 145.573 17198 145.573
2.16695 137.7 19016 137.7
2.24881 132.982 21458 132.982
2.33445 125.002 24186 125.002
2.42318 116.663 26624 116.663
2.51406 112.233 29594 112.233
2.60906 105.806 33536 105.806
2.70773 100.313 37166 100.313
2.80996 95.496 41720 95.496
2.91588 90.7108 46280 90.7108
3.02527 85.4532 51536 85.4532
3.13941 80.8066 58466 80.8066
3.25901 77.2159 65564 77.2159
3.38216 74.103 72080 74.103
3.50965 71.4939 81380 71.4939
3.64194 68.6479 90070 68.6479
3.7792 67.5033 101516 67.5033
3.92175 65.8207 112736 65.8207
4.06885 65.8286 122371 65.8286
4.22253 63.8639 120908 63.8639
4.38168 61.8617 118888 61.8617
4.54705 60.1052 115424 60.1052
4.71893 58.685 110068 58.685
4.89655 58.4301 101516 58.4301
5.08084 58.3395 92536 58.3395
5.27183 59.5461 78532 59.5461
5.46879 63.2919 62872 63.2919
5.67269 64.0087 43009 64.0087
5.8872 64.5904 27262 64.5904
6.10775 66.8427 16264 66.8427
6.3354 74.4346 8614 74.4346
6.56292 90.2487 3046 90.2487
6.76744 116.774 550 116.774
6.96499 1.16728 1 1.16728
